Timestamp;Timezone Offset;6492.sensirion-sht35-temperature;6669.dendrometer-position;6670.dendrometer-position;6671.dendrometer-position
08.11.2020 09:30;+01:00;6.972610056;3582.444191;4140.572548;6475.601196
08.11.2020 10:00;+01:00;6.819066148;3582.545122;4140.645663;6475.644112
08.11.2020 10:30;+01:00;6.761654078;3582.571348;4140.694936;6475.668748
08.11.2020 11:00;+01:00;7.189796801;3583.0609;4140.985807;6475.895246
08.11.2020 11:30;+01:00;8.040741588;3584.462802;4141.791662;6476.817926
08.11.2020 12:00;+01:00;8.3567305;3585.207462;4142.225583;6477.514903
08.11.2020 12:30;+01:00;8.953103939;3585.704962;4142.30903;6477.763653
08.11.2020 13:00;+01:00;9.61534549;3586.452802;4142.46877;6478.251616
08.11.2020 13:30;+01:00;10.22329035;3586.343129;4142.408371;6478.205522
08.11.2020 14:00;+01:00;10.62383968;3585.789204;4142.311414;6478.192806
08.11.2020 14:30;+01:00;11.42315811;3584.38015;4142.089685;6478.10936
08.11.2020 15:00;+01:00;11.89936675;3581.639926;4141.866366;6477.944056
08.11.2020 15:30;+01:00;12.01953155;3577.826023;4141.59139;6477.704048
08.11.2020 16:00;+01:00;11.42760866;3574.550947;4140.996138;6477.355957
08.11.2020 16:30;+01:00;10.69860889;3573.256334;4140.387774;6476.695538
08.11.2020 17:00;+01:00;10.22329035;3572.835922;4140.168031;6476.43884
08.11.2020 17:30;+01:00;9.612230106;3572.22716;4140.067101;6476.071676
08.11.2020 18:00;+01:00;9.165840136;3571.725686;4140.033722;6475.7967
08.11.2020 18:30;+01:00;8.552554615;3571.235339;4140.010675;6475.594838
08.11.2020 19:00;+01:00;8.022049287;3570.916653;4139.950275;6475.379467
08.11.2020 19:30;+01:00;7.800411994;3570.993741;4139.943123;6475.321452
08.11.2020 20:00;+01:00;7.537829658;3571.089904;4139.949083;6475.323836
08.11.2020 20:30;+01:00;7.42033519;3571.162224;4139.945507;6475.316683
08.11.2020 21:00;+01:00;7.301950612;3571.250439;4139.950275;6475.335757
08.11.2020 21:30;+01:00;7.113247374;3571.343422;4139.970938;6475.361188
08.11.2020 22:00;+01:00;6.860456245;3571.507931;4139.990807;6475.39854
08.11.2020 22:30;+01:00;6.663742021;3571.710587;4140.002728;6475.433509
08.11.2020 23:00;+01:00;6.572060731;3571.890195;4140.026569;6475.469271
08.11.2020 23:30;+01:00;6.478599222;3572.062651;4140.059948;6475.498676
09.11.2020 00:00;+01:00;6.155489433;3572.448889;4140.089353;6475.548744
09.11.2020 00:30;+01:00;5.881335673;3572.832743;4140.1124;6475.589275
09.11.2020 01:00;+01:00;5.565346761;3573.255539;4140.132666;6475.636164
09.11.2020 01:30;+01:00;5.4763358;3573.77847;4140.148958;6475.665569
09.11.2020 02:00;+01:00;5.725566491;3574.435711;4140.197436;6475.687822
09.11.2020 02:30;+01:00;5.886676331;3575.356801;4140.26022;6475.73789
09.11.2020 03:00;+01:00;5.989929046;3576.349417;4140.307903;6475.822131
09.11.2020 03:30;+01:00;6.013962005;3577.050368;4140.355587;6475.88253
09.11.2020 04:00;+01:00;5.915159838;3578.291734;4140.36274;6475.907167
09.11.2020 04:30;+01:00;5.772742301;3580.27935;4140.404065;6475.925446
09.11.2020 05:00;+01:00;5.635665421;3580.842018;4140.429497;6475.955645
09.11.2020 05:30;+01:00;5.702423641;3581.325213;4140.464465;6475.981871
09.11.2020 06:00;+01:00;5.730017039;3582.298756;4140.520891;6476.012866
09.11.2020 06:30;+01:00;5.439841306;3582.833608;4140.586853;6476.047039
09.11.2020 07:00;+01:00;5.29297322;3583.586216;4140.633742;6476.090749
09.11.2020 07:30;+01:00;5.242236973;3584.374587;4140.690168;6476.113002
09.11.2020 08:00;+01:00;5.265379822;3585.074743;4140.725136;6476.149559
09.11.2020 08:30;+01:00;5.382874291;3585.466544;4140.79984;6476.177375
09.11.2020 09:00;+01:00;5.547544569;3586.075306;4140.884082;6476.236979
09.11.2020 09:30;+01:00;5.835049973;3586.61294;4141.055743;6476.360162
09.11.2020 10:00;+01:00;6.191983927;3587.361177;4141.340256;6476.589839
09.11.2020 10:30;+01:00;6.832417792;3588.389556;4141.887029;6477.147738
09.11.2020 11:00;+01:00;7.795071336;3590.236505;4143.462976;6478.203138
09.11.2020 11:30;+01:00;8.797334758;3592.146238;4147.072633;6480.026245
09.11.2020 12:00;+01:00;8.679840289;3591.737747;4146.080017;6479.7616
09.11.2020 12:30;+01:00;8.764400702;3591.330846;4145.647685;6479.448477
09.11.2020 13:00;+01:00;9.518323542;3591.311773;4145.556291;6479.444504
09.11.2020 13:30;+01:00;10.48231225;3591.202895;4145.501455;6479.413509
09.11.2020 14:00;+01:00;12.05424582;3590.79361;4145.51417;6479.520003
09.11.2020 14:30;+01:00;13.21227843;3589.337667;4145.337741;6479.476293
09.11.2020 15:00;+01:00;14.60886041;3584.179084;4144.868851;6478.981972
09.11.2020 15:30;+01:00;14.52964065;3576.058547;4144.38804;6478.189627
09.11.2020 16:00;+01:00;13.40142672;3570.902348;4143.466949;6477.104028
09.11.2020 16:30;+01:00;12.36133364;3568.412463;4142.000675;6475.685438
09.11.2020 17:00;+01:00;11.17170214;3567.221165;4140.937328;6474.18499
09.11.2020 17:30;+01:00;10.74044404;3566.53293;4140.938123;6473.485629
09.11.2020 18:00;+01:00;10.27491671;3566.052119;4140.973886;6473.193963
09.11.2020 18:30;+01:00;9.72927952;3565.744559;4140.992165;6472.832362
09.11.2020 19:00;+01:00;9.325169757;3565.755685;4140.985807;6472.594738
09.11.2020 19:30;+01:00;8.872103965;3565.847079;4140.984217;6472.440561
09.11.2020 20:00;+01:00;8.619312835;3565.909863;4141.000112;6472.421487
09.11.2020 20:30;+01:00;8.239236032;3566.045761;4140.997728;6472.433408
